country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,continent
Andorra,743,,41,,398,304,17,9616,531,1673,21653,Europe
Honduras,738,36,66,2,73,599,10,75,7,3643,368,North America
Kyrgyzstan,729,21,8,,437,284,10,112,1,50775,7783,Asia
Lebanon,721,4,24,,150,547,44,106,4,32446,4754,Asia
Diamond Princess,712,,13,,645,54,4,,,,,
Niger,709,,31,,403,275,,29,1,5116,211,Africa
Costa Rica,705,,6,,306,393,8,138,1,12729,2499,North America
Burkina Faso,638,,42,,476,120,,31,2,,,Africa
Sri Lanka,627,8,7,,134,486,2,29,03,17715,827,Asia
Uruguay,625,5,15,,394,216,11,180,4,18140,5222,South America
Somalia,582,54,28,,20,534,2,37,2,,,Africa
San Marino,563,10,41,,69,453,6,16592,1208,2235,65869,Europe
Guatemala,557,27,16,1,62,479,5,31,09,7200,402,North America
Channel Islands,530,,36,,352,142,,3048,207,5342,30725,Europe
Georgia,517,6,6,,168,343,6,130,2,12593,3157,Asia
DRC,491,20,30,,59,402,,5,03,,,Africa
Tanzania,480,181,16,6,167,297,7,8,03,,,Africa
Malta,463,5,4,,339,120,1,1049,9,31736,71875,Europe
Mayotte,460,,4,,235,221,4,1686,15,2700,9897,Africa
Jordan,449,,8,,348,93,5,44,08,63737,6247,Asia
Taiwan,429,,6,,311,112,,18,03,62368,2619,Asia
Mali,424,,24,,122,278,,21,1,2172,107,Africa
Réunion,418,,,,300,118,2,467,,,,Africa
Kenya,384,10,14,,129,241,2,7,03,17992,335,Africa
Jamaica,381,17,7,,29,345,3,129,2,3621,1223,North America
El Salvador,377,32,9,1,106,262,3,58,1,22593,3483,North America
Palestine,344,1,2,,71,271,,67,04,27000,5293,Asia
Mauritius,334,,10,,306,18,3,263,8,14445,11358,Africa
Venezuela,329,,10,,142,177,3,12,04,440966,15507,South America
Montenegro,321,,7,,199,115,7,511,11,6864,10929,Europe
Sudan,318,,25,,31,262,,7,06,,,Africa
Equatorial Guinea,315,,1,,9,305,,225,07,854,609,Africa
Isle of Man,309,,21,,252,36,22,3634,247,2986,35116,Europe
Vietnam,270,,,,222,48,8,3,,212965,2188,Asia
Maldives,269,19,,,17,252,2,498,,5296,9798,Asia
Paraguay,239,9,9,,102,128,1,34,1,8444,1184,South America
Gabon,238,,3,,53,182,1,107,1,724,325,Africa
Rwanda,212,,,,95,117,,16,,8464,653,Africa
Congo,207,,8,,19,180,,38,1,,,Africa
Faeroe Islands,187,,,,181,6,,3827,,6851,140208,Europe
Martinique,175,,14,,83,78,5,466,37,,,North America
Myanmar,150,,6,1,16,128,,3,01,7608,140,Asia
Guadeloupe,149,,12,,82,55,11,372,30,,,North America
Liberia,141,,16,,45,80,,28,3,,,Africa
Gibraltar,141,,,,131,10,,4185,,2198,65240,Europe
Brunei,138,,1,,124,13,2,315,2,13428,30694,Asia
Ethiopia,130,4,3,,58,69,,1,003,16434,143,Africa
Madagascar,128,,,,90,38,1,5,,3107,112,Africa
French Guiana,125,,1,,93,31,,419,3,,,South America
Cambodia,122,,,,119,3,1,7,,11905,712,Asia
Trinidad and Tobago,116,,8,,68,40,,83,6,1642,1173,North America
Cabo Verde,114,,1,,2,111,,205,2,791,1423,Africa
Bermuda,110,,6,,44,60,10,1766,96,1682,27008,North America
Togo,109,10,7,1,64,38,,13,08,6675,806,Africa
Sierra Leone,104,,4,,12,88,,13,05,,,Africa
Aruba,100,,2,,73,25,4,937,19,1649,15445,North America
Zambia,97,2,3,,54,40,1,5,02,5284,287,Africa
Monaco,95,,4,,50,41,1,2421,102,,,Europe
Liechtenstein,82,,1,,55,26,,2151,26,900,23605,Europe
Bahamas,80,,11,,23,46,1,203,28,,,North America
Barbados,80,,6,,39,35,4,278,21,1930,6716,North America
Uganda,79,,,,52,27,,2,,27432,600,Africa
Haiti,76,,6,,8,62,,7,05,776,68,North America
Mozambique,76,,,,12,64,,2,,1688,54,Africa
Sint Maarten,75,,13,,33,29,7,1749,303,302,7044,North America
Guyana,74,,8,,15,51,5,94,10,464,590,South America
GuineaBissau,73,,1,,18,54,,37,05,1500,762,Africa
Eswatini,71,,1,,10,60,,61,09,714,615,Africa
Cayman Islands,70,,1,,10,59,3,1065,15,1148,17468,North America
Benin,64,,1,,33,30,,5,008,,,Africa
Libya,61,,2,,18,41,,9,03,1623,236,Africa
French Polynesia,58,,,,49,9,1,206,,2345,8348,AustraliaOceania
Nepal,57,3,,,16,41,,2,,57189,1963,Asia
Chad,52,,2,,19,31,,3,01,,,Africa
CAR,50,,,,10,40,,10,,,,Africa
Macao,45,,,,34,11,1,69,,,,Asia
Syria,43,,3,,21,19,,2,02,,,Asia
Eritrea,39,,,,19,20,,11,,,,Africa
Saint Martin,38,,3,,24,11,3,983,78,,,North America
Mongolia,38,,,,10,28,,12,,7292,2224,Asia
Malawi,36,,3,,5,28,1,2,02,690,36,Africa
South Sudan,34,,,,,34,,3,,,,Africa
Zimbabwe,32,,4,,5,23,,2,03,6834,460,Africa
Angola,27,,2,,6,19,,08,006,,,Africa
Antigua and Barbuda,24,,3,,11,10,1,245,31,113,1154,North America
TimorLeste,24,,,,6,18,,18,,322,244,Asia
Botswana,23,,1,,,22,,10,04,6016,2558,Africa
Grenada,19,1,,,10,9,4,169,,175,1555,North America
Laos,19,,,,7,12,,3,,1917,263,Asia
Belize,18,,2,,9,7,1,45,5,995,2502,North America
Fiji,18,,,,12,6,,20,,1007,1123,AustraliaOceania
New Caledonia,18,,,,17,1,1,63,,4456,15608,AustraliaOceania
Curaçao,16,,1,,11,4,,98,6,304,1853,North America
Dominica,16,,,,13,3,,222,,383,5320,North America
Namibia,16,,,,8,8,,6,,704,277,Africa
Saint Kitts and Nevis,15,,,,4,11,,282,,293,5508,North America
Saint Lucia,15,,,,15,0,,82,,446,2429,North America
St Vincent Grenadines,15,,,,8,7,,135,,108,973,North America
Nicaragua,13,,3,,7,3,,2,05,,,North America
Falkland Islands,13,,,,11,2,,3736,,353,101437,South America
Turks and Caicos,12,,1,,5,6,,310,26,83,2144,North America
Burundi,11,,1,,4,6,,09,008,284,24,Africa
Montserrat,11,,1,,2,8,1,2204,200,36,7212,North America
Greenland,11,,,,11,0,,194,,1200,21138,North America
Seychelles,11,,,,6,5,,112,,,,Africa
Gambia,10,,1,,8,1,,4,04,401,166,Africa
Suriname,10,,1,,7,2,,17,2,404,689,South America
Vatican City,10,,,,2,8,,12484,,,,Europe
MS Zaandam,9,,2,,,7,,,,,,
Mauritania,8,1,1,,6,1,,2,02,1032,222,Africa
Papua New Guinea,8,,,,,8,,09,,604,68,AustraliaOceania
Sao Tome and Principe,8,,,,4,4,,37,,19,87,Africa
Bhutan,7,,,,5,2,,9,,9865,12785,Asia
British Virgin Islands,6,,1,,3,2,,198,33,,,North America
St Barth,6,,,,6,0,,607,,,,North America
Western Sahara,6,,,,5,1,,10,,,,Africa
Caribbean Netherlands,5,,,,,5,,191,,110,4195,North America
Anguilla,3,,,,3,0,,200,,,,North America
Saint Pierre Miquelon,1,,,,,1,,173,,,,North America
Yemen,1,,,,1,0,,003,,120,4,Asia
China,82858,22,4633,,77578,647,50,58,3,,,Asia
