country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,tot_deaths_1m_pop
Diamond Princess,712,,10,NA,587,115,15,,NA
South Africa,709,155,,NA,4,705,2,12,NA
Russia,658,163,1,NA,29,628,8,5,  001
Iceland,648,,2,NA,51,595,13,1899,  600
Philippines,636,84,38,  3,26,572,1,6,  030
India,562,26,10,NA,40,512,,04,  001
Singapore,558,,2,NA,156,400,17,95,  030
Qatar,526,,,NA,41,485,6,183,NA
Slovenia,480,,4,NA,3,473,12,231,  200
Panama,443,,6,NA,1,436,33,103,  100
Bahrain,419,27,3,NA,177,239,2,246,  200
Croatia,418,36,1,NA,16,401,6,102,  020
Peru,416,,7,NA,1,408,9,13,  020
Hong Kong,410,23,4,NA,102,304,4,55,  050
Mexico,405,38,5,  1,4,396,1,3,  004
Estonia,404,35,,NA,8,396,5,305,NA
Egypt,402,,20,NA,80,302,,4,  020
Argentina,387,,6,NA,52,329,,9,  010
Colombia,378,,3,NA,6,369,,7,  006
Lebanon,333,15,4,NA,8,321,4,49,  060
Iraq,316,,27,NA,75,214,,8,  070
Dominican Republic,312,,6,NA,3,303,,29,  060
Serbia,303,,4,  1,15,284,21,35,  050
Armenia,265,16,,NA,16,249,6,89,NA
Algeria,264,,19,NA,65,180,,6,  040
Lithuania,255,46,4,  2,1,250,1,94,  100
UAE,248,,2,NA,45,201,2,25,  020
Taiwan,235,19,2,NA,29,204,,10,  008
Hungary,226,39,10,  1,21,195,6,23,  100
Latvia,221,24,,NA,1,220,,117,NA
Bulgaria,220,2,3,NA,4,213,8,32,  040
Slovakia,216,12,,NA,7,209,2,40,NA
New Zealand,205,,,NA,22,183,,43,NA
Kuwait,195,4,,NA,43,152,6,46,NA
Uruguay,189,,,NA,,189,3,54,NA
San Marino,187,,21,NA,4,162,12,5511,61900
Costa Rica,177,,2,NA,2,173,4,35,  040
Morocco,170,,5,NA,6,159,1,5,  010
Bosnia and Herzegovina,168,,3,NA,2,163,1,51,  090
Andorra,164,,1,NA,1,162,7,2123, 1300
Jordan,154,,,NA,1,153,,15,NA
North Macedonia,148,,2,NA,1,145,1,71,  100
Albania,146,23,5,NA,17,124,3,51,  200
Vietnam,134,,,NA,17,117,3,1,NA
Faeroe Islands,132,10,,NA,38,94,2,2701,NA
Moldova,125,,1,NA,2,122,20,31,  020
Cyprus,124,,3,NA,3,118,3,103,  200
Burkina Faso,114,,4,NA,7,103,,5,  020
Tunisia,114,,4,NA,1,109,11,10,  030
Ukraine,113,11,4,  1,1,108,,3,  009
Malta,110,,,NA,2,108,1,249,NA
Brunei,109,5,,NA,2,107,1,249,NA
Sri Lanka,102,,,NA,3,99,2,5,NA
Oman,99,15,,NA,17,82,,19,NA
Senegal,99,13,,NA,9,90,,6,NA
Réunion,94,,,NA,1,93,,105,NA
Cambodia,93,2,,NA,4,89,1,6,NA
Venezuela,91,7,,NA,15,76,2,3,NA
Azerbaijan,87,,1,NA,10,76,6,9,  010
Belarus,86,5,,NA,29,57,2,9,NA
Kazakhstan,79,7,,NA,,79,,4,NA
Afghanistan,74,,2,  1,1,71,,2,  005
Guadeloupe,73,,1,NA,,72,4,182,  200
Georgia,73,3,,NA,10,63,1,18,NA
Ivory Coast,73,,,NA,2,71,,3,NA
Cameroon,66,,1,NA,2,63,,2,  004
Palestine,62,2,,NA,16,46,,12,NA
Martinique,57,,1,NA,,56,7,152,  300
Trinidad and Tobago,57,,,NA,,57,,41,NA
Uzbekistan,55,5,,NA,,55,4,2,NA
Ghana,53,,2,NA,,51,,2,  006
Montenegro,52,5,1,NA,,51,,83,  200
Liechtenstein,51,,,NA,,51,,1338,NA
Mauritius,48,6,2,NA,,46,1,38,  200
Cuba,48,,1,NA,1,46,2,4,  009
Nigeria,46,2,1,NA,2,43,,02,  000
DRC,45,,2,NA,,43,,05,  002
Kyrgyzstan,44,2,,NA,,44,,7,NA
Rwanda,40,,,NA,,40,,3,NA
Bangladesh,39,,5,  1,7,27,,02,  003
Channel Islands,39,3,,NA,,39,,224,NA
Paraguay,37,10,3,  1,,34,1,5,  040
Honduras,36,6,,NA,,36,,4,NA
Mayotte,36,,,NA,,36,,132,NA
Bolivia,32,3,,NA,,32,,3,NA
Macao,30,1,,NA,10,20,,46,NA
Jamaica,25,4,1,NA,2,22,,8,  030
French Polynesia,25,,,NA,,25,,89,NA
Kenya,25,,,NA,,25,,05,NA
Monaco,23,,,NA,1,22,,586,NA
French Guiana,23,,,NA,6,17,,77,NA
Isle of Man,23,,,NA,,23,,270,NA
Guatemala,21,,1,NA,,20,,1,  006
Togo,20,,,NA,1,19,,2,NA
Madagascar,19,2,,NA,,19,,07,NA
Barbados,18,,,NA,,18,,63,NA
Aruba,17,,,NA,1,16,,159,NA
Gibraltar,15,,,NA,5,10,,445,NA
New Caledonia,14,4,,NA,,14,,49,NA
Maldives,13,,,NA,5,8,,24,NA
Ethiopia,12,,,NA,,12,,01,NA
Tanzania,12,,,NA,,12,,02,NA
Zambia,12,9,,NA,,12,,07,NA
Mongolia,10,,,NA,,10,,3,NA
El Salvador,9,4,,NA,,9,,1,NA
Equatorial Guinea,9,,,NA,,9,,6,NA
Uganda,9,,,NA,,9,,02,NA
Saint Martin,8,,,NA,,8,,207,NA
Niger,7,4,1,  1,,6,,03,  004
Dominica,7,,,NA,,7,,97,NA
Haiti,7,,,NA,,7,,06,NA
Namibia,7,,,NA,2,5,,3,NA
Seychelles,7,,,NA,,7,,71,NA
Suriname,7,,,NA,,7,,12,NA
Cayman Islands,6,,1,NA,,5,,91, 1500
Curaçao,6,,1,NA,,5,,37,  600
Gabon,6,,1,NA,,5,,3,  040
Benin,6,,,NA,,6,,05,NA
Bermuda,6,,,NA,,6,,96,NA
Guyana,5,,1,NA,,4,,6,  100
Bahamas,5,,,NA,1,4,,13,NA
Fiji,5,1,,NA,,5,,6,NA
Greenland,5,,,NA,2,3,,88,NA
Congo,4,,,NA,,4,,07,NA
Guinea,4,,,NA,,4,,03,NA
Vatican City,4,,,NA,,4,,4994,NA
Eswatini,4,,,NA,,4,,3,NA
Cabo Verde,3,,1,NA,,2,,5,  200
Gambia,3,,1,NA,,2,,1,  040
Sudan,3,,1,NA,,2,,007,  002
Zimbabwe,3,,1,NA,,2,,02,  007
Nepal,3,1,,NA,1,2,,01,NA
Angola,3,,,NA,,3,,009,NA
Antigua and Barbuda,3,,,NA,,3,,31,NA
CAR,3,,,NA,,3,,06,NA
Chad,3,,,NA,,3,,02,NA
Djibouti,3,,,NA,,3,,3,NA
Liberia,3,,,NA,,3,,06,NA
Mozambique,3,,,NA,,3,,010,NA
Myanmar,3,,,NA,,3,,006,NA
St Barth,3,,,NA,,3,,304,NA
Saint Lucia,3,,,NA,,3,,16,NA
Bhutan,2,,,NA,,2,,3,NA
Laos,2,,,NA,,2,,03,NA
Mali,2,2,,NA,,2,,010,NA
Mauritania,2,,,NA,,2,,04,NA
Nicaragua,2,,,NA,,2,,03,NA
Sint Maarten,2,,,NA,,2,,47,NA
Belize,1,,,NA,,1,,3,NA
Eritrea,1,,,NA,,1,,03,NA
Grenada,1,,,NA,,1,,9,NA
Libya,1,,,NA,,1,,01,NA
Montserrat,1,,,NA,,1,,200,NA
Papua New Guinea,1,,,NA,,1,,01,NA
St Vincent Grenadines,1,,,NA,,1,,9,NA
Somalia,1,,,NA,,1,,006,NA
Syria,1,,,NA,,1,,006,NA
TimorLeste,1,,,NA,,1,,08,NA
Turks and Caicos,1,,,NA,,1,,26,NA
